"COURS","","H19","E19","A19","H20","E20"
"CTN762","Ressources hydriques","S","S","S","S","S"
"CTN763","Services municipaux","","JS","","","JS"
"CTN764","Fondements des procédés et processus en génie de l'environnement","","","J","",""
"CTN765","Projets d'expérimentaitons en laboratoire","J","","","J",""
"CTN766","Impacts des projets sur l'environnement","","","J","",""
"CTN767","Conception en génie de l'environnement","","S","","","S"
"CTN768","Domaines émergents en génie de l'environnement","S","","","S",""
"CTN771","Construction et dimensionnement des chaussées","","","J","",""
"CTN772","Entretien, réhabilitation et gestion des routes","","J","","","J"
"CTN773","Tracés de routes","S","S","","S","S"
"CTN774","Aménagements routiers","","","J","",""
"CTN781","Structures en bois et fausses charpentes","","","J","",""
"CTN783","Charpentes d'acier","J","J","S","J","J"
"CTN784","Conception et analyse des ponts","J","","","J",""
"CTN785","Analyse et conception des structures","J","S","","J","S"
"CTN791","Projets spéciaux","J","J","J","J","J"
"CTN793","Projet de fin d'études en génie de la construction","J","J","J","J","J"
"CTN794","Projet international de fin d'études en génie de la construction","J","","J","J",""
"GIA500","Initiation aux projets internationaux d'ingénierie","","","S","",""
"J : JourS : SoirJS : Jour - SoirLes titres de cours sous fond grisé sont obligatoires dans le programme","","","","","",""
