"COURS","","H19","E19","A19","H20","E20"
"Ti,InELE739","Circuits intégrés programmables (FPGA)(Ancien ELE 740 à partir H19)","J","","","J",""
"In,Ti,OTeELE746","Téléinformatique","","","J","",""
"Ti,InELE747","Analyse et traitement d'images","J","J","","S","J"
"Ti,In,TeELE749","Conception conjointe matériel – logiciel de systèmes numériques(Ancien ELE 748 à partir H19)","","S","","","S"
"ELE751","Systèmes de navigation embarqués","","","","",""
"CiELE752","Appareillage électrique","","","S","","S"
"Ti,Ci,InELE767","Apprentissage machine en intelligence artificielle(Ancien ELE 778 à partir H19)","J","","","J",""
"Ci,Ti,TeELE771","Dispositifs photoniques","","","J","",""
"Ti,TeELE772","Communications optiques","J","","","J",""
"CiELE773","Éléments de robotique","","","J","",""
"CiELE777","Modélisation et identification des systèmes dynamiques","","","J","",""
"Ci,InELE784","Ordinateurs et programmation systèmes","","","J","",""
"Ti,TeELE785","Systèmes de communi cation sans fil","J","","","J",""
"Ti,TeELE787","Systèmes de transmission","","","","",""
"Ti,TeELE788","Circuits et antennes micro-ondes","J","","","J",""
"Ti,Ci,InELE791","Projets spéciaux","J","J","J","J","J"
"ELE795","Projet de fin d'études en génie électrique(ancien ELE792) à paritr H17","J","J","J","J","J"
"ELE889","Technologies de l'énergie photovoltaïque","J","S","","J","S"
"GTS_ _ _","Pour la planification des cours de GTS (génie technologie de la santé) voir dans la sectionCONCENTRATION EN TECHNOLOGIE DE LA SANTÉ","","","","",""
"J : JourS : SoirJS : Jour - SoirLes titres de cours sous fond grisé sont obligatoires dans le programme","","","","","",""
