"COURS","","H19","E19","A19","H20","E20"
"CTN100","Éléments de gestion de projets de construction","J","","JS","J",""
"CTN103","Éléments de construction de bâtimen","J","","JS","J",""
"CTN104","Éléments de matériaux de construction","J","","J","J",""
"CTN200","Planification et contrôle de projets de constructio","JS","JS","J","JS","JS"
"CTN258","Statique et dynamique","JS","J","JS","JS","J"
"CTN300","Estimation","JS","JS","JS","JS","JS"
"CTN308","Résistance des matériaux","J","JS","JS","J","JS"
"CTN326","Mécanique des fluides et thermodynamique","J","J","J","J","J"
"CTN404","Science et technologie des matériaux","JS","J","J","JS","J"
"CTN408","Analyse des structures","JS","JS","JS","JS","JS"
"CTN426","Hydraulique et hydrologie","JS","J","J","JS","J"
"CTN504","Mécanique des sols","J","J","J","J","J"
"CTN508","Structures de béton","JS","JS","JS","JS","JS"
"CTN600","Gestion des contrats de construction","JS","S","JS","JS","S"
"CTN626","Génie de l'environnement","JS","JS","JS","JS","JS"
"CTN701","Réalisation des projets de construction","S","","","S",""
"CTN702","Contrôle et performance des projets de construction","S","","S","S",""
"CTN703","Qualité dans la construction","J","","","J",""
"CTN705","Projets internationaux d'ingénierie de construction","J","J","J","J","J"
"CTN731","Enveloppe du bâtiment","JS","JS","JS","JS","JS"
"CTN732","Systèmes mécaniques du bâtiment","","S","J","","S"
"CTN733","Systèmes électriques du bâtiment","","","S","",""
"CTN734","Éléments de chauffage, ventilation et climatisation","J","","","J",""
"CTN735","Environnement et bâtiments durables","J","","J","J",""
"CTN736","Conception intégré de bâtiments durables","(INT)","","","(INT)",""
"CTN741","Fondations","J","","J","J",""
"CTN742","Construction lourde","S","","J","S",""
"CTN761","Hydraulique urbaine","","J","J","","J"
