"COURS","","H19","E19","A19","H20","E20"
"AcIELE104","Principes fondamentaux des circuits électriques","","","J","",""
"ELE105","Circuits électriques","JS","JS","J","JS","JS"
"AcEI,Ti, TeELE116","Environnement de développement de logiciels","S","","J","",""
"ELE140","Conception des systèmes numériques","J","J","JS","J","J"
"ELE200","Circuits électroniques","J","J","JS","J","J"
"ELE275","Asservissements linéaires","JS","JS","J","JS","J"
"AcEIELE312","Électromagnétisme","JS","JS","JS","JS","JS"
"ELE344","Conception et architecture de processeurs (Ancien ELE 343 à partir H19)","JS","JS","JS","JS","JS"
"OTi,OCi,OTeELE355","Électronique de puissance I","S","J","J","S","J"
"ELE400","Méthode de design en génie électrique","JS","S","J","JS","S"
"AcEELE413","Ondes électromagnétiques(Ancien ELE 412 à partir H19)","J","S","JS","JS","JS"
"ELE431","Analyse et conception de circuits analogiques (Ancien ELE 430 à partir H19)","JS","J","J","JS","J"
"OInELE440","Algorithmes","","","J","",""
"ELE452","Principes des systèmes de l'aéronautique","","S","","","S"
"OTi,OCi,OTeELE462","Principes des systèmes de communication","J","JS","J","J","JS"
"ELE474","Commande numérique (Ancien ELE 472 à partir H19)","J","S","JS","J","S"
"OTi,Ci,In,OTeELE543","Principes des systèmes embarqués(Ancien ELE 542 à partir H19)","J","S","S","J","J"
"OCiELE550","Machines électriques","J","","S","J",""
"ELE641","Systèmes embarqués et normes en aérospatiale","","","S","",""
"Ti,In,OTeELE649","Protocoles et réseaux locaux","","","S","",""
"CiELE652","Électricité industrielle","","J","","","S"
"CiELE653","Transport de l'énergie","J","S","","","S"
"CiELE654","Électronique de puissance II","J","","","J",""
"CiELE656","Asservissement des machines électriques","J","","","J",""
"Ti,OTeELE664","Communication numérique","","","J","",""
"Ti,Ci,InELE666","Traitement numérique des signaux","","","J","",""
"Ti, TeELE667","Hyperfréquences I","","","J","",""
"CiELE672","Systèmes non linéaires","S","","","J",""
"CiELE673","Instrumentation industrielle","S","","","S",""
"ELE674","Systèmes embarqués avancés","","","J","",""
"Ti,InELE682","Conception de systèmes numériques à haute vitesse(Ancien ELE 680 à partir H19)","S","","","J",""
"ELE704","Systèmes de commande de vol Fly-by-wire","","","","",""
"Ti,InELE732","Traitement parallèle par systèmes ordinés","J","","","J",""
"InELE735","Analyse numérique","","S","J","","S"
