"COURS","","H19","E19","A19","H20","É20"
"FaMEC624","Technologie de la mise en forme","","S","J","","S"
"FaMEC625","Technologie du soudage","","J","","J",""
"FaMEC627","Technologies de fabrication additive","","","J","",""
"MéMEC628","Conception de systèmes à fluide sous pression","S","S","","S","S"
"BaMEC630","Ventilation et chauffage","S","","J","","S"
"MéMEC636","Acoustique industrielle","J","","J","J",""
"MEC652","Conception des systèmes manufacturiers","S","J","","S","J"
"MaMEC664","Optimisation des procédés industriels","","","","",""
"AéMEC671","Design conceptuel des aéronefs","S","S","","S","S"
"Ma, Aé, Ba, Mé, FaMEC702","Techniques de maintenance prédictive et fiabilité","S","S","","S","S"
"FaMEC723","Fabrication numérique","","","S","",""
"MéMEC727","Tribologie","","J","","J",""
"Aé,MéMEC728","Conception et analyse des assemblage","","","J","",""
"MéMEC729","Mécanismes et dynamique des machines","","J","","J",""
"BaMEC730","Climatisation et réfrigération industrielle","","","J","",""
"BaMEC733","Gestion d'énergie dans les bâtiments","J","","","J",""
"BaMEC735","Conception intégrée des systèmes mécaniques dans les bâtiments","J","","","J",""
"AéMEC737","Moteurs alternatifs à combustion interne","J","","J","J",""
"MéMEC741","Robotique","S","J","","S","J"
"MéMEC743","Instrumentation et contrôle des procédés industriels","S","","J","","J"
"MaMEC754","Optimisation en production manufacturière","","S","","S",""
"Ma, Aé, Ba, Mé, FaMEC755","Gestion des projets industriels avancée","","S","","S",""
"AéMEC757","Introduction à l'aérodynamique","J","","J","","J"
"AéMEC758","Systèmes de propulsion : Thermopropulsion et turbomachines","J","","","J",""
"Aé, FaMEC761","Essais mécaniques et contrôle non destructif","J","","J","","J"
"FaMEC781","Méthodes d'usinage avancées","","","J","",""
"Aé,FaMEC785","Méthodologie de conception pour la fabrication et l'assemblage","S","","S","S",""
"AéMEC786","Mise en forme de polymères et composites","","","J","",""
"MEC788","Mécatronique","JS","JS","JS","JS","JS"
