GPA141,Automates programmables,J,S,JS,J,S
GPA205,Conception de systèmes de production,J,J,J,J,J
GPA210,Éléments de fabrication mécanique,J,J,J,J,J
GPA220,Analyse des circuits électriques,J,,J,J,
GPA305,Éléments de résistance des matériaux,J,,J,J,
GPA325,Introduction à l'électronique,J,,J,J,
GPA430,Technique d'optimisation en production automatisée,S,J,J,S,J
GPA434,Système d'exploitation et programmation de systèmes(Ancien GPA 435 à partir d'hiver 2019),J,S,J,J,S
GPA445,Conception assistée par ordinateur,S,J,J,S,J
GPA535,Systèmes asservis,J,S,J,J,S
GPA546,Robots industriels,J,J,S,J,J
GPA548,Gestion de la production,J,S,S,J,
GPA659,Vision artificielle,J,S,J,J,S
GPA662,Modélisation et simulation de systèmes de production,,,J,,
GPA664,Fabrication assistée par ordinateur,J,,J,J,
GPA665,Structures de données et algorithmes,S,,,S,
GPA667,Conception et simulation de circuits électroniques,,J,,,J
GPA668,Capteurs et actionneurs,,J,,J,
GPA725,Conception assistée par ordinateur de composants aéronautiques,J,,,J,
GPA730,"Usinage, outillage et inspection pour l'aéronautique",,,,,
GPA735,Matériaux et procédés de fabrication pour l'aéronautique,,,,,
GPA741,Systèmes de commande des avions,,,S,,
GPA745,Introduction à l'avionique,,,S,,
GPA750,Ordonnancement des systèmes de production aéronautique,,,,,
GPA754,Cellules de production robotisée,S,J,J,J,J
GPA759,Réseaux de neurones et intelligence artificielle,,,J,,
GPA770,Micro-électronique appliquée,J,J,J,J,J
GPA772,Conception de machines,,,S,,
GPA775,Base de données,,S,,,S
GPA776,Assurance de la qualité,J,,,S,
GPA777,Introduction au génie logiciel,,,,,
GPA782,Hydraulique et pneumatique,J,,,S,
GPA783,Asservissement numérique en temps réel,J,S,J,J,S
GPA784,Systèmes flexibles de production,,,,,
GPA785,Téléinformatique et réseaux,,,,,
GPA786,Rentabilité de projets d'automatisation,,S,,,S
GPA787,Microsystèmes,J,,,J,
GPA788,Analyse et conception orientées objet(Ancien GPA 789 à partir d'hiver 2019),,,S,,
GPA791,Projets spéciaux,J,J,J,J,J
GPA793,Projet de fin d'études en génie de la production automatisée(ancien GPA790) à partir H08 et (ancien GPA792) à partir E17,J,J,J,J,J
